mean_favorite_count,sum_favorite_count,mean_retweet_count,sum_retweet_count,mean_display_text_width,sum_display_text_width,n,code
0.6666666666666666,2,0,0,90.33333333333333,271,3,TS
1.3333333333333333,8,0.16666666666666666,1,92.83333333333333,557,6,TS
1.5,6,0,0,91.25,365,4,TS
1.75,7,0,0,80.75,323,4,TS
1,2,0,0,81.5,163,2,TS
2,10,0.8,4,120.8,604,5,SB
0.625,5,0.125,1,75.75,606,8,TS
0,0,0.25,1,47.5,190,4,TS
1.3333333333333333,4,0,0,66,198,3,TS
1.5,3,0,0,99,198,2,SB
0.5,1,0,0,76.5,153,2,TS
0.3333333333333333,1,0.6666666666666666,2,113.66666666666667,341,3,TS
0.3333333333333333,1,0.3333333333333333,1,100.33333333333333,301,3,TS
0.5,1,0.5,1,72,144,2,TS
0.3333333333333333,1,0.3333333333333333,1,99,297,3,TS
1,3,1,3,102.33333333333333,307,3,SB
0.5,1,0,0,53,106,2,TS
2,4,0,0,48,96,2,TS
1.3333333333333333,4,0,0,56.666666666666664,170,3,TS
2,4,0,0,70.5,141,2,TS
2,4,0,0,32,64,2,TS
0,0,0,0,54,54,1,TS
0.5,2,0.25,1,40.5,162,4,TS
2,4,0,0,44,88,2,TS
2,4,0,0,44,88,2,TS
0,0,0.3333333333333333,1,89.66666666666667,269,3,SB
0,0,0.3333333333333333,1,103.33333333333333,310,3,SB
1,2,0,0,117,234,2,SB
0.5,1,0,0,66.5,133,2,TS
0,0,0,0,28,56,2,TS
0.5,1,0,0,105,210,2,TS
1,1,1,1,57,57,1,TS
1.5,3,0.5,1,72.5,145,2,SB
0,0,0,0,81,81,1,SB
0,0,0,0,81,81,1,SB
0,0,0,0,81,81,1,SB
1.25,5,0,0,94.5,378,4,TS
0,0,0.5,1,65,130,2,SB
1,4,0,0,78.75,315,4,TS
0,0,0,0,100.75,403,4,TS
3,6,0.5,1,76.5,153,2,TS
2.5,5,1,2,96,192,2,TS
1,2,0,0,72.5,145,2,TS
2,4,0,0,94,188,2,TS
0.5,1,0,0,99.5,199,2,TS
7.5,30,1.75,7,75.5,302,4,TS
0,0,0,0,88.5,177,2,TS
0.3333333333333333,1,0,0,119,357,3,SB
0,0,0,0,120.5,241,2,TS
0.4,2,0,0,95.2,476,5,SB
0.4,2,0,0,87.4,437,5,SB
3,6,1.5,3,74.5,149,2,TS
0,0,0,0,132,132,1,TS
