student_ID,course_ID,gender,enrollment_reason,enrollment_status,final_grade,time_spent
91634,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,84.9893328,1857.8168
91672,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,92.8824,2763.0331
91709,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,87.2928,4315.8839
91771,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,28.48,540.5001
91932,AnPhA-S116-02,M,Other,Approved/Enrolled,82.6117328,1182.9667
92185,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,91.8528,6162.1998
52326,AnPhA-S216-01,F,Other,Approved/Enrolled,83.5882656,1321.8164
58168,AnPhA-S216-01,F,Other,Approved/Enrolled,96.5216,433.3669
67013,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,46.072,2297.2332
69743,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.4714656,7084.7003
71725,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,77.2789328,3514.5498
76673,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,92.2,4945.2164
76674,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,95.8608,2368.4997
76840,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,74.4392,3968.1668
76998,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,40.2389328,1270.0997
78164,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,76.104,2591.6168
85248,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,94.8261328,2269.8829
86268,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,93.5386672,1272.3172
86942,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,83.624,3101.5166
88440,AnPhA-S216-01,M,Learning Preference of the Student,Approved/Enrolled,84.216,2544.4002
88612,AnPhA-S216-01,F,Other,Approved/Enrolled,71.6544,2258.9165
91313,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,84.9536,3134.9666
91326,AnPhA-S216-01,F,Other,Approved/Enrolled,47.0544,657.1668
94246,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,35.692,1351.9003
94691,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,10.6608,258.35
94805,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,87.3024,4438.7165
94846,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,70.4149328,764.1668
94872,AnPhA-S216-01,F,Other,Approved/Enrolled,69.6682672,3547.0667
95014,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,95.6208,2999.9832
95114,AnPhA-S216-01,F,Course Unavailable at Local School,Dropped,NA,546.85
95283,AnPhA-S216-01,F,Other,Approved/Enrolled,91.3376,2689.4502
95545,AnPhA-S216-01,F,Other,Approved/Enrolled,72.3008,4284.4003
95594,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,40.4533328,1419.8
95601,AnPhA-S216-01,F,Other,Approved/Enrolled,84.4474672,2915.5167
95618,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,66.7525328,3789.3996
95620,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,72.888,4013.3999
95634,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,76.5749312,4466.367
95915,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,74.1874672,2670.7669
95957,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,67.9248,3542.5501
96228,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,91.064,1747.1669
96640,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,6.336,769.2331
96677,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,5.2,11.0333
96680,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,52.5504,1776.5166
96690,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,64.8128,1969.5003
96720,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,7.88,68.1167
96853,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.4277328,2521.2334
96854,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.1189328,2563.3833
96959,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,67.6608,1727.2666
96994,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,86.8074672,2676.7501
74552,AnPhA-S216-02,F,Other,Approved/Enrolled,96.16,6123.8832
88979,AnPhA-S216-02,F,Scheduling Conflict,Dropped,NA,364.5001
91164,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,90.0016,4359.0996
94219,AnPhA-S216-02,F,Learning Preference of the Student,Dropped,NA,151.75
94542,AnPhA-S216-02,F,Other,Approved/Enrolled,33.28,1558.5331
94545,AnPhA-S216-02,F,Other,Approved/Enrolled,45.4,855.3833
94550,AnPhA-S216-02,F,Other,Approved/Enrolled,85.3408,2856.6166
94898,AnPhA-S216-02,F,Other,Approved/Enrolled,73.6608,1904.1662
94903,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,69.8808,2288.5835
