student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
88153,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,88.7024,AnPhA,S116,01,3.2,3.3333333333333335,2.5,3.142857142857143,6,277,0.9775882352941176,0.02833764799396401,15
88641,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,87.1808,AnPhA,S116,01,3.6,4,3.5,3.7142857142857144,15,599,0.8838235294117647,0.13647237501749732,11
89142,AnPhA-S116-01,F,Other,Approved/Enrolled,95.104,AnPhA,S116,01,5,4.333333333333333,3.5,4.714285714285714,13,552,0.9852941176470589,0.03302398525105347,16
89194,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,83.2053328,AnPhA,S116,01,3.6,3.3333333333333335,3.5,3.4285714285714284,7,108,0.888264705882353,0.1405034479098907,5
89918,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,75.6416,AnPhA,S116,01,4.6,4.333333333333333,3.5,4.428571428571429,7,211,0.8375294117647059,0.2322082437828718,9
90305,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,73.4533328,AnPhA,S116,01,5,4.666666666666667,5,4.857142857142857,10,570,0.7782058823529413,0.19498369228246357,6
56152,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,94.1248,AnPhA,S116,02,4.8,4.333333333333333,4,4.714285714285714,9,202,0.9788235294117648,0.04974200055213172,13
57188,AnPhA-S116-02,M,Learning Preference of the Student,Approved/Enrolled,80.7344,AnPhA,S116,02,4,5,3.5,4.285714285714286,6,309,0.8687647058823529,0.053207577050071106,13
65627,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,81.4872,AnPhA,S116,02,4,4,3.5,4,9,355,0.8629705882352942,0.18516603273135027,9
70192,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,95.96,AnPhA,S116,02,4.8,4.333333333333333,4,4.571428571428571,9,437,0.9823529411764705,0.03266516141120825,15
76930,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,81.272,AnPhA,S116,02,4.6,4,3.5,4.285714285714286,9,388,0.8819411764705882,0.1494365352588698,9
79220,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,91.8208,AnPhA,S116,02,4,4,3,4,7,301,0.9470588235294117,0.08543981046652198,12
86314,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,81.5237328,AnPhA,S116,02,4.2,5,4.5,4.428571428571429,10,245,0.8845588235294117,0.15387668560130674,9
86707,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,85.9093344,AnPhA,S116,02,4.4,4.666666666666667,3.5,4.428571428571429,11,511,0.8962058823529411,0.14876637030432746,7
90395,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,81.1226672,AnPhA,S116,02,5,5,4.5,5,6,179,0.9169411764705883,0.12529650295670894,7
90396,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,79.3941328,AnPhA,S116,02,4.2,3.3333333333333335,3,3.7142857142857144,9,296,0.8816176470588235,0.11968144242454097,8
90398,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,94.9274672,AnPhA,S116,02,NA,4.333333333333333,4,NA,11,917,0.9794117647058823,0.05270052322876642,16
90399,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,88.8896,AnPhA,S116,02,4.8,4.666666666666667,4.5,4.714285714285714,10,428,0.9469117647058823,0.07450518936711982,10
90956,AnPhA-S116-02,F,Other,Approved/Enrolled,91.912,AnPhA,S116,02,5,5,4.5,5,9,313,0.9485294117647058,0.06469181578805654,11
90971,AnPhA-S116-02,F,Other,Approved/Enrolled,79.84,AnPhA,S116,02,3,3,3,3,9,598,0.8448529411764706,0.13972047340111923,6
91065,AnPhA-S116-02,M,Other,Approved/Enrolled,60.9642672,AnPhA,S116,02,4.2,2.6666666666666665,3.5,3.4285714285714284,1,53,0.6347058823529412,0.13328281355832294,3
91175,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,82.1541328,AnPhA,S116,02,4.6,4,4.5,4.285714285714286,9,418,0.9117647058823529,0.13303420392968374,10
91319,AnPhA-S116-02,F,Other,Approved/Enrolled,84.0224,AnPhA,S116,02,4,4.333333333333333,3.5,4.142857142857143,7,259,0.9102941176470588,0.12135268403666435,10
91320,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,29.6533328,AnPhA,S116,02,3.2,3.6666666666666665,3,3.4285714285714284,10,187,0.5294117647058824,0.26690465570704314,7
91574,AnPhA-S116-02,M,Scheduling Conflict,Approved/Enrolled,81.8309328,AnPhA,S116,02,4,3.6666666666666665,3,3.857142857142857,9,328,0.8070588235294117,0.17688302723221042,6
