student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent,subject,semester,section,int,uv,percomp,percentage_earned,sum_discussion_posts,sum_n_words
90305,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,73.4533328,2363.6832,AnPhA,S116,01,5,4.666666666666667,5,0.7782058823529413,10,570
56152,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,94.1248,4438.8165,AnPhA,S116,02,4.8,4.333333333333333,4,0.9788235294117648,9,202
57188,AnPhA-S116-02,M,Learning Preference of the Student,Approved/Enrolled,80.7344,5305.4334,AnPhA,S116,02,4,5,3.5,0.8687647058823529,6,309
65627,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,81.4872,2164.9001,AnPhA,S116,02,4,4,3.5,0.8629705882352942,9,355
70192,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,95.96,1537.1834,AnPhA,S116,02,4.8,4.333333333333333,4,0.9823529411764705,9,437
76930,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,81.272,2804.9832,AnPhA,S116,02,4.6,4,3.5,0.8819411764705882,9,388
79220,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,91.8208,3781.6498,AnPhA,S116,02,4,4,3,0.9470588235294117,7,301
86314,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,81.5237328,3030.1667,AnPhA,S116,02,4.2,5,4.5,0.8845588235294117,10,245
86707,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,85.9093344,2143.133,AnPhA,S116,02,4.4,4.666666666666667,3.5,0.8962058823529411,11,511
90395,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,81.1226672,2300.6664,AnPhA,S116,02,5,5,4.5,0.9169411764705883,6,179
90396,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,79.3941328,3544.8161,AnPhA,S116,02,4.2,3.3333333333333335,3,0.8816176470588235,9,296
90398,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,94.9274672,4264.25,AnPhA,S116,02,NA,4.333333333333333,4,0.9794117647058823,11,917
90399,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,88.8896,768.4833,AnPhA,S116,02,4.8,4.666666666666667,4.5,0.9469117647058823,10,428
90956,AnPhA-S116-02,F,Other,Approved/Enrolled,91.912,1550.4668,AnPhA,S116,02,5,5,4.5,0.9485294117647058,9,313
90971,AnPhA-S116-02,F,Other,Approved/Enrolled,79.84,3785.2838,AnPhA,S116,02,3,3,3,0.8448529411764706,9,598
91065,AnPhA-S116-02,M,Other,Approved/Enrolled,60.9642672,1334.7001,AnPhA,S116,02,4.2,2.6666666666666665,3.5,0.6347058823529412,1,53
91175,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,82.1541328,1315.25,AnPhA,S116,02,4.6,4,4.5,0.9117647058823529,9,418
91319,AnPhA-S116-02,F,Other,Approved/Enrolled,84.0224,686.2998,AnPhA,S116,02,4,4.333333333333333,3.5,0.9102941176470588,7,259
91320,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,29.6533328,584.9166,AnPhA,S116,02,3.2,3.6666666666666665,3,0.5294117647058824,10,187
91574,AnPhA-S116-02,M,Scheduling Conflict,Approved/Enrolled,81.8309328,2999.75,AnPhA,S116,02,4,3.6666666666666665,3,0.8070588235294117,9,328
91619,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,35.832,1272.2331,AnPhA,S116,02,4,4,4,0.4232352941176471,3,104
91634,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,84.9893328,1857.8168,AnPhA,S116,02,4,3.6666666666666665,3.5,0.9034117647058825,9,519
91672,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,92.8824,2763.0331,AnPhA,S116,02,3.6,4,2,0.9375294117647058,9,397
91709,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,87.2928,4315.8839,AnPhA,S116,02,4.2,3.6666666666666665,3.5,0.924264705882353,6,331
91771,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,28.48,540.5001,AnPhA,S116,02,5,4,4.5,0.4823529411764706,3,197
